Rank,playerId,playerImageId,Player,playerFullName,pos,teamImageId,teamName,teamShortName,teamAbbrevName,newestTeamId,newestTeam,newestTeamColor,newestLeagueId,newestLeague,optaPersonId,firstName,lastName,Position,GM,Min,Age,TopSpeed,DistanceRun,WalkDist,JogDist,RunDist,HiSpeedRunDist,SprintDist,WalkCount,JogCount,RunCount,HiSpeedRunCount,SprintCount
183,1k6t149nkiqw3nnvzyqoys3x1,298017,M. Plakushchenko,Maxim Plakushchenko,Central Midfielder,2787,Maccabi Netanya,M Netanya,MNT,6j9xcfzg0gp8j84yaoidmspaw,Maccabi Netanya,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,225793,Maxim,Plakushchenko,Central Midfielder,9.00,372.00,28.00,8.21,48174.00,11544.00,24726.00,8083.80,2481.20,410.70,2373.00,2954.00,635.00,149.00,27.00
183,1fww8pxvq3aj9nd96niitrzoq,681500,Y. Sadeh,Yuval Sadeh,Right Centre Back,2787,Maccabi Netanya,M Netanya,MNT,6j9xcfzg0gp8j84yaoidmspaw,Maccabi Netanya,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,491451,Yuval,Sadeh,Right Centre Back,6.00,428.00,24.00,8.21,50322.00,13139.00,28542.00,5997.70,1382.50,459.50,2481.00,3028.00,476.00,89.00,27.00
183,2oe38rd8fu8h2ogltboenp4kq,594283,N. Niddam,Nadav Niddam,Central Midfielder,2788,Ironi Kiryat Shmona,Kiryat Shmona,IKS,e2ryr6aied781hzc7hx9yntk8,Ironi Kiryat Shmona,#D3D3D3,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,449851,Nadav,Niddam,Central Midfielder,8.00,548.00,23.00,7.94,72060.00,15690.00,39560.00,11860.00,3152.90,569.70,2925.00,4041.00,935.00,210.00,27.00
183,c557plvyoq1qeg2q5e1s7ezje,688549,I. Ben Hamo,Itay Ben Hamo,Left Centre Back,2789,Bnei Sakhnin,Sakhnin,BNS,54hbubv11m3ygghs51uperow9,Bnei Sakhnin,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,512579,Itay,Ben Hamo,Left Centre Back,5.00,432.00,22.00,7.72,46933.00,13593.00,24175.00,5797.10,2065.70,464.80,2566.00,2832.00,458.00,133.00,27.00
183,jk435vf6uvhstu3yndbidzv9,,Y. Brik,Yaniv Brik,Defensive Midfielder,18909,Ironi Tiberias,I Tiberias,ITB,8k3kbfzfqi2senhosaaimvgjm,Ironi Tiberias,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,222590,Yaniv,Brik,Defensive Midfielder,7.00,500.00,29.00,7.90,60530.00,17773.00,32969.00,6667.40,1792.00,397.60,2761.00,3298.00,532.00,106.00,27.00
190,19q1uvr4g7l9gx75enc7ntu5l,616745,A. Jeno,Abiezer Jeno,Central Midfielder,469,Beitar Jerusalem,Beitar,BJM,cx0rucvdzkg1yd00vrueu2u7,Beitar Jerusalem,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,438429,Abiezer,Jeno,Central Midfielder,6.00,129.00,24.00,8.54,20057.00,4259.60,9562.70,3859.20,1520.00,467.70,681.00,1018.00,298.00,97.00,25.00
190,4hb0qa8ldtmfbnxjjpmaabvh0,,B. Cohen,Ben Cohen,Right Wing Back,14142,Hapoel Hadera,Hapoel Hadera,HAD,c99ke5wvxc8gjsn1mt4n6y38v,Hapoel Hadera,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,662602,Ben,Cohen,Right Wing Back,3.00,191.00,21.00,8.04,22262.00,5796.80,11062.00,3207.70,1339.30,410.80,1163.00,1363.00,233.00,78.00,25.00
192,55h0o4agaz95eu22rivoel695,309473,M. Djetei,Mohamed Djetei,Right Centre Back,2787,Maccabi Netanya,M Netanya,MNT,6j9xcfzg0gp8j84yaoidmspaw,Maccabi Netanya,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,227557,Mohamed,Djetei,Right Centre Back,6.00,455.00,30.00,8.01,49424.00,14334.00,26471.00,5704.50,1632.30,427.20,2649.00,3029.00,440.00,98.00,24.00
192,dm0e0dzoincmqdaeajm9fzx05,100786,E. Zahavi,Eran Zahavi,Centre Forward,1007,Maccabi Tel Aviv,Maccabi TA,MTA,ealjallt13942jb2q2hk4buxa,Maccabi Tel Aviv,#FFFF00,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,56838,Eran,Zahavi,Centre Forward,9.00,354.00,37.00,8.16,39162.00,12360.00,18095.00,5300.20,2143.10,527.10,2173.00,2270.00,415.00,130.00,24.00
192,6dxqoaegil8ddaevkqp16vhlh,124924,O. Dgani,Orel Dgani,Right Centre Back,3183,Hapoel Haifa,H Haifa,HHA,7cd60mgte8skipavum0o6ecyo,Hapoel Haifa,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,74369,Orel,Dgani,Right Centre Back,7.00,466.00,35.00,8.65,49110.00,15236.00,25107.00,5822.50,1573.90,516.20,2769.00,2922.00,478.00,95.00,24.00
192,229x2cms1ecruwk3uaujyxnth,153687,S. Azulay,Shlomi Azulay,Centre Forward,1942,Ashdod,Ashdod,ASH,3xbrfd77vj0zi8vbrnwqz54z,Ashdod,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,89529,Shlomi,Azulay,Centre Forward,6.00,241.00,35.00,8.94,28754.00,7170.00,15337.00,3810.80,1455.60,479.10,1303.00,1571.00,284.00,89.00,24.00
192,2d1dzkrenq3lmy4fb687cqhud,454235,A. Karo,Andreas Karo,Right Centre Back,2357,Maccabi Petah Tikva,M Petah Tikva,MPT,salasr5qer65t60k1e4c0vxf,Maccabi Petah Tikva,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,213933,Andreas,Karo,Right Centre Back,5.00,356.00,28.00,8.36,38021.00,11281.00,19063.00,4763.40,1716.70,466.30,2204.00,2391.00,354.00,102.00,24.00
192,frqgze81sxy6oclj3ry7uu0a,902784,M. Tadisa,Matanel Tadisa,Centre Attacking Midfielder,2789,Bnei Sakhnin,Sakhnin,BNS,54hbubv11m3ygghs51uperow9,Bnei Sakhnin,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,607055,Matanel,Tadisa,Centre Attacking Midfielder,10.00,413.00,28.00,7.83,53925.00,13177.00,28280.00,8727.80,2439.50,419.00,2234.00,2894.00,689.00,169.00,24.00
192,4yj0tpvyk7hrj7iejv52autey,,D. Dzhulani,Daniel Dzhulani,Centre Forward,2789,Bnei Sakhnin,Sakhnin,BNS,54hbubv11m3ygghs51uperow9,Bnei Sakhnin,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,512601,Daniel,Dzhulani,Centre Forward,7.00,230.00,21.00,9.29,30632.00,7407.40,16287.00,4263.10,1628.20,500.60,1412.00,1727.00,331.00,102.00,24.00
199,uxb0rai8lghcq59m2r6bkzpx,165143,K. Saief,Kenny Saief,Left Back,491,Maccabi Haifa,M Haifa,MHA,bglyqy0awtu6lzvpab390rir2,Maccabi Haifa,#008000,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,94255,Kenny,Saief,Left Back,5.00,159.00,30.00,8.54,21412.00,6306.30,10259.00,2820.90,1199.00,443.00,1192.00,1242.00,211.00,73.00,23.00
199,clebcw5q2ja2ajyb7n09rae39,210072,R. Meir,Raz Meir,Left Back,2787,Maccabi Netanya,M Netanya,MNT,6j9xcfzg0gp8j84yaoidmspaw,Maccabi Netanya,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,222163,Raz,Meir,Left Back,4.00,175.00,27.00,8.49,21598.00,5419.60,10638.00,3288.60,1290.00,553.20,1022.00,1236.00,252.00,80.00,23.00
199,74w7u994c832ya17u9g7nkh04,836591,M. Anim Cudjoe,Mathew Anim Cudjoe,Centre Forward,2789,Bnei Sakhnin,Sakhnin,BNS,54hbubv11m3ygghs51uperow9,Bnei Sakhnin,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,531457,Mathew,Anim Cudjoe,Centre Forward,4.00,316.00,21.00,8.13,35506.00,9235.80,18445.00,4963.80,1839.30,396.90,1664.00,1929.00,373.00,113.00,23.00
199,aeye6v28onph82wa696vuk9as,982014,A. Ganah,Amir Ganah,Left Midfielder,3012,Hapoel Be'er Sheva,H Be'er Sheva,HBS,9ppjmek1r3tb9yddebneaxj7i,Hapoel Be'er Sheva,#ff0000,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,598898,Amir,Ganah,Left Midfielder,8.00,369.00,20.00,8.24,44252.00,12284.00,22512.00,6113.50,2083.80,449.40,2367.00,2766.00,494.00,130.00,23.00
199,5071els4ac7xna8wahv7dfcic,,Y. Ferber,Yonatan Ferber,Centre Attacking Midfielder,3183,Hapoel Haifa,H Haifa,HHA,7cd60mgte8skipavum0o6ecyo,Hapoel Haifa,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,663588,Yonatan,Ferber,Centre Attacking Midfielder,6.00,230.00,23.00,8.07,30108.00,6851.70,15222.00,5190.30,1781.40,435.20,1548.00,1885.00,385.00,110.00,23.00
204,60y84uvcifm8io5bi0skuy710,969828,H. Shibli,Hamza Shibli,Centre Forward,2788,Ironi Kiryat Shmona,Kiryat Shmona,IKS,e2ryr6aied781hzc7hx9yntk8,Ironi Kiryat Shmona,#D3D3D3,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,592950,Hamza,Shibli,Centre Forward,6.00,178.00,20.00,8.67,23768.00,5261.60,11948.00,3993.20,1630.10,504.80,948.00,1232.00,305.00,92.00,22.00
204,ee3rkow0hamg95akjrax2ksbu,786511,Z. Ahmed,Zahi Ahmed,Centre Forward,3012,Hapoel Be'er Sheva,H Be'er Sheva,HBS,9ppjmek1r3tb9yddebneaxj7i,Hapoel Be'er Sheva,#ff0000,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,625981,Zahi,Ahmed,Centre Forward,4.00,130.00,23.00,8.83,14883.00,4519.20,6470.20,2300.40,902.00,413.90,721.00,780.00,178.00,55.00,22.00
206,cuhmkfbalp8a8e2gmeh5mtgfe,831671,A. Farada,Ayano Farada,Defensive Midfielder,15112,Hapoel Jerusalem,H Jerusalem,HJM,ehmuu62daxvzhvn2wfoe9t86y,Hapoel Jerusalem,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,549486,Ayano,Farada,Defensive Midfielder,5.00,344.00,22.00,7.90,40893.00,10362.00,21118.00,6154.70,2100.90,392.70,2096.00,2490.00,505.00,124.00,21.00
206,3smmetumwei5dkt296qnz1ex,532371,A. Ashta,Awka Ashta,Central Midfielder,15112,Hapoel Jerusalem,H Jerusalem,HJM,ehmuu62daxvzhvn2wfoe9t86y,Hapoel Jerusalem,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,549484,Awka,Ashta,Central Midfielder,8.00,295.00,25.00,8.36,39108.00,9523.20,21727.00,5136.90,1536.30,515.30,1952.00,2338.00,411.00,104.00,21.00
208,4o34wxqqh13xzvkyaczl7w3it,209676,A. Ramalingom,Alexandre Ramalingom,Centre Forward,2789,Bnei Sakhnin,Sakhnin,BNS,54hbubv11m3ygghs51uperow9,Bnei Sakhnin,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,231059,Alexandre,Ramalingom,Centre Forward,6.00,354.00,31.00,8.15,40925.00,10921.00,21732.00,5291.10,1821.30,462.00,1888.00,2199.00,398.00,113.00,20.00
208,10fhneu2ag3zslmot65er6x9l,568255,F. Pierrot,Frantzdy Pierrot,Centre Forward,491,Maccabi Haifa,M Haifa,MHA,bglyqy0awtu6lzvpab390rir2,Maccabi Haifa,#008000,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,423064,Frantzdy,Pierrot,Centre Forward,2.00,180.00,29.00,9.01,19317.00,6153.20,9185.30,2184.50,1024.20,397.20,1198.00,1181.00,180.00,58.00,20.00
208,9yb88b47etya2zd83o4x30p3o,956897,R. Nawi,Roy Nawi,Central Midfielder,3183,Hapoel Haifa,H Haifa,HHA,7cd60mgte8skipavum0o6ecyo,Hapoel Haifa,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,582493,Roy,Nawi,Central Midfielder,5.00,381.00,20.00,8.27,45938.00,10365.00,25705.00,6873.90,1823.70,401.80,1900.00,2584.00,555.00,113.00,20.00
208,2scs25mk9u75riwv699l038mi,631736,B. Cohen,Bar Cohen,Central Midfielder,2787,Maccabi Netanya,M Netanya,MNT,6j9xcfzg0gp8j84yaoidmspaw,Maccabi Netanya,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,511556,Bar,Cohen,Central Midfielder,8.00,408.00,23.00,8.76,55732.00,11788.00,30559.00,9305.90,2562.20,452.50,2638.00,3476.00,707.00,166.00,20.00
208,8u63fbpjc1c9xm493xd17q80k,,C. Mondzenga,Chance Mondzenga,Right Midfielder,16514,Maccabi Bnei Raina,Bnei Raina,RNA,bvgvmydv5tuf6lxvwvuwbrfje,Maccabi Bnei Raina,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,623373,Chance,Mondzenga,Right Midfielder,7.00,85.00,23.00,8.97,14141.00,3836.30,6263.10,2143.30,1232.90,402.50,572.00,708.00,160.00,80.00,20.00
213,agxrg8ytux9fv5ypxte369xp1,215271,M. Mbodj,Mamadou Mbodj,Right Centre Back,14142,Hapoel Hadera,Hapoel Hadera,HAD,c99ke5wvxc8gjsn1mt4n6y38v,Hapoel Hadera,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,210961,Mamadou,Mbodj,Right Centre Back,8.00,715.00,31.00,7.94,70267.00,26179.00,34342.00,6309.10,1925.90,404.40,4321.00,4280.00,504.00,120.00,19.00
213,41xb46jxg66nssj62bc9u7x90,,A. Kanani,Asil Kanani,Centre Forward,1942,Ashdod,Ashdod,ASH,3xbrfd77vj0zi8vbrnwqz54z,Ashdod,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,647009,Asil,Kanani,Centre Forward,3.00,74.00,22.00,8.62,11236.00,2442.00,5367.20,1814.60,953.50,407.30,544.00,661.00,143.00,57.00,19.00
215,6ojkg8hyape0o77s9tjre1m95,224896,K. Soni,K茅vin Soni,Centre Forward,2789,Bnei Sakhnin,Sakhnin,BNS,54hbubv11m3ygghs51uperow9,Bnei Sakhnin,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,203151,K茅vin,Soni,Centre Forward,4.00,303.00,26.00,7.75,33711.00,9475.80,17663.00,4029.90,1673.20,299.30,1663.00,1833.00,297.00,109.00,18.00
215,2dzasf5mpqm32122nbisje8d1,179842,S. Piven,Shahar Piven,Right Centre Back,15112,Hapoel Jerusalem,H Jerusalem,HJM,ehmuu62daxvzhvn2wfoe9t86y,Hapoel Jerusalem,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,456362,Shahar,Piven,Right Centre Back,5.00,257.00,29.00,8.27,28221.00,9305.20,14361.00,2788.20,988.80,276.20,1749.00,1779.00,225.00,62.00,18.00
215,d4zjvngd2kiyt2ka17dclo1gq,834362,A. Halaihal,Abdalla Halaihal,Centre Forward,2789,Bnei Sakhnin,Sakhnin,BNS,54hbubv11m3ygghs51uperow9,Bnei Sakhnin,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,508388,Abdalla,Halaihal,Centre Forward,6.00,133.00,23.00,8.60,19528.00,4252.10,10599.00,2761.60,1137.40,406.90,835.00,1097.00,215.00,62.00,18.00
215,3eib6vh3ngofbjbs9qvve3r4k,929908,S. Edri,Shon Edri,Centre Forward,2788,Ironi Kiryat Shmona,Kiryat Shmona,IKS,e2ryr6aied781hzc7hx9yntk8,Ironi Kiryat Shmona,#D3D3D3,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,560723,Shon,Edri,Centre Forward,5.00,134.00,21.00,8.29,19807.00,4520.10,9313.70,3761.30,1472.40,341.20,840.00,1097.00,288.00,97.00,18.00
215,cj5hwxc6sbznet60l6n3nlp90,881823,I. Hagag,Ilay Hagag,Central Midfielder,491,Maccabi Haifa,M Haifa,MHA,bglyqy0awtu6lzvpab390rir2,Maccabi Haifa,#008000,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,607232,Ilay,Hagag,Central Midfielder,4.00,87.00,23.00,8.82,12969.00,3702.00,5989.10,1738.80,890.40,416.70,581.00,678.00,134.00,49.00,18.00
220,1doj252anzqdzn5fknqr5i31l,523428,I. Soro,Ismaila Soro,Central Midfielder,469,Beitar Jerusalem,Beitar,BJM,cx0rucvdzkg1yd00vrueu2u7,Beitar Jerusalem,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,440087,Ismaila,Soro,Central Midfielder,7.00,382.00,26.00,8.20,41307.00,11572.00,21335.00,5712.50,1693.50,341.40,1858.00,2201.00,438.00,106.00,17.00
220,56durctv5ftmbu9zbmvy9jims,,A. Taha,Ahmad Taha,Central Midfielder,2789,Bnei Sakhnin,Sakhnin,BNS,54hbubv11m3ygghs51uperow9,Bnei Sakhnin,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,590888,Ahmad,Taha,Central Midfielder,7.00,259.00,19.00,8.06,35327.00,6992.40,18743.00,6752.60,1865.80,334.60,1415.00,2001.00,525.00,112.00,17.00
220,8wu9q44d622cv286oflodqwwk,1019766,A. Ayias,Anis Ayias,Right Attacking Midfielder,2789,Bnei Sakhnin,Sakhnin,BNS,54hbubv11m3ygghs51uperow9,Bnei Sakhnin,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,631312,Anis,Ayias,Right Attacking Midfielder,4.00,70.00,19.00,9.16,11145.00,2458.70,5446.80,1762.20,823.50,415.40,557.00,640.00,139.00,57.00,17.00
220,9pfybt7t7pixvkysqae8truy2,834140,S. Harush,Shalev Harush,Centre Attacking Midfielder,1942,Ashdod,Ashdod,ASH,3xbrfd77vj0zi8vbrnwqz54z,Ashdod,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,512417,Shalev,Harush,Centre Attacking Midfielder,5.00,133.00,22.00,8.73,17674.00,4343.20,8662.40,2788.50,1151.50,361.80,871.00,1032.00,228.00,67.00,17.00
220,8aovce2e3vg8b6ig9hzpdmoes,845163,B. Lin,Bar Lin,Central Midfielder,3183,Hapoel Haifa,H Haifa,HHA,7cd60mgte8skipavum0o6ecyo,Hapoel Haifa,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,567864,Bar,Lin,Central Midfielder,8.00,217.00,20.00,8.08,28710.00,6777.70,14436.00,5028.50,1601.20,302.80,1293.00,1648.00,394.00,104.00,17.00
225,dunj14dcpg99a61fjjcq6tg45,224782,D. Qui򭖫nes,D茅inner Qui򭖫nes,Right Winger,2357,Maccabi Petah Tikva,M Petah Tikva,MPT,salasr5qer65t60k1e4c0vxf,Maccabi Petah Tikva,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,168354,D茅inner,Qui򭖫nes,Right Winger,5.00,290.00,29.00,8.75,31137.00,9534.20,15555.00,3835.40,1288.00,387.30,1683.00,1813.00,287.00,80.00,16.00
225,bqly7uspmwn08tg02n9g3zklw,878007,I. Boganim,Itay Boganim,Centre Attacking Midfielder,3183,Hapoel Haifa,H Haifa,HHA,7cd60mgte8skipavum0o6ecyo,Hapoel Haifa,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,532018,Itay,Boganim,Centre Attacking Midfielder,6.00,79.00,23.00,8.81,12236.00,3577.20,5779.20,1481.00,784.40,377.50,634.00,711.00,108.00,42.00,16.00
225,cocgd3hh74fq9c30x9bps4idw,874815,S. Lemkin,Stav Lemkin,Left Back,1007,Maccabi Tel Aviv,Maccabi TA,MTA,ealjallt13942jb2q2hk4buxa,Maccabi Tel Aviv,#FFFF00,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,521880,Stav,Lemkin,Left Back,4.00,193.00,21.00,9.10,23624.00,5742.70,12724.00,3279.20,1101.60,317.00,1239.00,1484.00,258.00,68.00,16.00
225,dn9wvs2gf875cdd4vduti59n8,953279,Y. Shabo,Yali Shabo,Centre Forward,14142,Hapoel Hadera,Hapoel Hadera,HAD,c99ke5wvxc8gjsn1mt4n6y38v,Hapoel Hadera,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,579138,Yali,Shabo,Centre Forward,7.00,85.00,19.00,8.42,14022.00,3405.80,6729.80,2279.40,1084.80,256.60,585.00,733.00,163.00,71.00,16.00
225,4kswhnmgejyr2xjiw075bo6j8,1004521,E. Khalaili,Iyad Khalaili,Right Wing Back,491,Maccabi Haifa,M Haifa,MHA,bglyqy0awtu6lzvpab390rir2,Maccabi Haifa,#008000,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,592952,Iyad,Khalaili,Right Wing Back,2.00,135.00,18.00,8.68,15975.00,4396.60,8168.40,1998.20,772.40,379.40,745.00,854.00,153.00,49.00,16.00
225,8443yao5sqmmjeq3n49uj2l4a,,A. Wodaje,Avichay Wodaje,Central Midfielder,2788,Ironi Kiryat Shmona,Kiryat Shmona,IKS,e2ryr6aied781hzc7hx9yntk8,Ironi Kiryat Shmona,#D3D3D3,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,549487,Avichay,Wodaje,Central Midfielder,5.00,126.00,27.00,8.12,19574.00,4196.90,9347.60,3718.60,1610.30,350.10,623.00,936.00,296.00,102.00,16.00
225,9dl8xbth38dqd6muj9d2sm80k,,T. Arbel,Tamir Arbel,Right Attacking Midfielder,3183,Hapoel Haifa,H Haifa,HHA,7cd60mgte8skipavum0o6ecyo,Hapoel Haifa,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,607239,Tamir,Arbel,Right Attacking Midfielder,4.00,84.00,22.00,8.38,11835.00,2990.30,5701.20,1719.90,841.70,336.40,600.00,687.00,119.00,54.00,16.00
232,7rv0xhaoqzj0nlyhi7aqhii1h,166213,I. Levy,Ido Levy,Left Centre Back,14142,Hapoel Hadera,Hapoel Hadera,HAD,c99ke5wvxc8gjsn1mt4n6y38v,Hapoel Hadera,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,104875,Ido,Levy,Left Centre Back,6.00,523.00,34.00,7.56,53646.00,17901.00,27674.00,5516.10,1404.30,262.30,3199.00,3284.00,434.00,84.00,15.00
232,8ngdontjkmz0sgcae3w9tp10q,846490,I. Dahan,Idan Aharon Dahan,Left Attacking Midfielder,15112,Hapoel Jerusalem,H Jerusalem,HJM,ehmuu62daxvzhvn2wfoe9t86y,Hapoel Jerusalem,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,508890,Idan Aharon,Dahan,Left Attacking Midfielder,7.00,115.00,23.00,8.82,18130.00,4613.60,9269.50,2546.60,1030.80,333.00,847.00,1011.00,196.00,58.00,15.00
232,8g621w3klglidsjmsgt92ghgq,768616,A. Altury,Amir Altury,Centre Forward,2357,Maccabi Petah Tikva,M Petah Tikva,MPT,salasr5qer65t60k1e4c0vxf,Maccabi Petah Tikva,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,549354,Amir,Altury,Centre Forward,2.00,90.00,21.00,7.99,11802.00,2488.80,6251.20,1828.30,772.20,242.30,501.00,637.00,147.00,48.00,15.00
232,7y9bnumjsieu519lt9xoyc844,,B. Shaheen,Bilal Shaheen,Left Back,2788,Ironi Kiryat Shmona,Kiryat Shmona,IKS,e2ryr6aied781hzc7hx9yntk8,Ironi Kiryat Shmona,#D3D3D3,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,591183,Bilal,Shaheen,Left Back,6.00,148.00,21.00,9.40,20261.00,5044.50,10646.00,2699.50,1102.70,369.80,1046.00,1237.00,210.00,63.00,15.00
232,bwxwv1zg5e2wunnx2zxnnluui,,L. Zana,Liel Zana,Centre Forward,15112,Hapoel Jerusalem,H Jerusalem,HJM,ehmuu62daxvzhvn2wfoe9t86y,Hapoel Jerusalem,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,591220,Liel,Zana,Centre Forward,6.00,185.00,24.00,7.73,25996.00,5562.80,14316.00,4024.60,1365.20,228.80,1210.00,1592.00,317.00,70.00,15.00
237,2f245416ulcna17z4l8z3nnbp,166018,S. Goldberg,Sean Goldberg,Left Centre Back,491,Maccabi Haifa,M Haifa,MHA,bglyqy0awtu6lzvpab390rir2,Maccabi Haifa,#008000,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,213333,Sean,Goldberg,Left Centre Back,4.00,315.00,29.00,7.83,31727.00,11185.00,15112.00,3305.50,1267.00,324.90,1890.00,1888.00,255.00,75.00,14.00
237,66pc9v8axzcduoub7xonti1re,828447,I. Madmon,Ilay Madmon,Central Midfielder,15112,Hapoel Jerusalem,H Jerusalem,HJM,ehmuu62daxvzhvn2wfoe9t86y,Hapoel Jerusalem,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,512268,Ilay,Madmon,Central Midfielder,5.00,197.00,21.00,7.47,27584.00,6184.70,14203.00,4728.80,1689.70,263.60,1072.00,1501.00,370.00,104.00,14.00
237,963sg5nuvlzu4ig3zb9hmltgq,681286,R. Twizer,Raz Yehoshua Twizer,Centre Forward,14142,Hapoel Hadera,Hapoel Hadera,HAD,c99ke5wvxc8gjsn1mt4n6y38v,Hapoel Hadera,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,549430,Raz Yehoshua,Twizer,Centre Forward,6.00,144.00,25.00,8.35,21147.00,4718.50,11214.00,3441.50,1091.30,281.20,958.00,1245.00,282.00,72.00,14.00
237,1n7kyeqd8bru169ktgv79vrah,,S. Talias,Snir Talias,Left Back,18909,Ironi Tiberias,I Tiberias,ITB,8k3kbfzfqi2senhosaaimvgjm,Ironi Tiberias,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,491431,Snir,Talias,Left Back,8.00,148.00,25.00,8.40,20244.00,5605.90,10448.00,2577.50,1052.60,219.90,942.00,1119.00,212.00,62.00,14.00
237,clcyx0pgm18ettg9uzvye4msq,,A. Kanarik,Aviv Kanarik,Central Midfielder,2787,Maccabi Netanya,M Netanya,MNT,6j9xcfzg0gp8j84yaoidmspaw,Maccabi Netanya,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,549346,Aviv,Kanarik,Central Midfielder,6.00,209.00,21.00,8.22,28391.00,6385.00,14835.00,5114.90,1330.70,225.60,1122.00,1538.00,403.00,79.00,14.00
242,5yx3g1n3p9phts2w33mofqcix,510964,R. Hatuel,Rotem Hatuel,Left Attacking Midfielder,3012,Hapoel Be'er Sheva,H Be'er Sheva,HBS,9ppjmek1r3tb9yddebneaxj7i,Hapoel Be'er Sheva,#ff0000,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,433686,Rotem,Hatuel,Left Attacking Midfielder,4.00,93.00,26.00,8.68,12684.00,3472.70,5935.70,2043.10,786.70,218.90,593.00,705.00,154.00,54.00,13.00
242,41557fmzcctiz4k29eool05ih,728313,T. Glazer,Tamir Glazer,Central Midfielder,2357,Maccabi Petah Tikva,M Petah Tikva,MPT,salasr5qer65t60k1e4c0vxf,Maccabi Petah Tikva,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,512597,Tamir,Glazer,Central Midfielder,3.00,203.00,24.00,7.44,28149.00,5869.00,14865.00,5133.00,1530.50,206.10,1212.00,1666.00,422.00,103.00,13.00
